,loss_classifier,loss_mask,loss_box_reg,loss_objectness,total
0,0.1018133286524702,0.2710837786948239,0.12356742178952253,0.002994146964650739,0.502988737490442
1,0.08043294417223444,0.2043326267213733,0.09765338468606825,0.002203410518921845,0.3875832113402861
2,0.07049104376799531,0.17382108001613322,0.08207386445576026,0.0017637179006860493,0.33078868723945853
3,0.06407492224609962,0.15539437591063757,0.07186779877929776,0.001574334018412763,0.29534768536686895
4,0.05945681216402186,0.1430347284177939,0.06434781088873193,0.0013737403535371952,0.27050065371725296
5,0.055917060848923374,0.1339386813480545,0.058727524858428005,0.0012560920310955193,0.252011377621948
6,0.053086167726685445,0.12692831144052208,0.054302945382222925,0.0011429778916728403,0.23754071057946594
7,0.05057813850990324,0.12137385950320297,0.05059502517321596,0.0010645700684895692,0.22561284150514338
8,0.048322789050608016,0.11684486828284499,0.04759244931164224,0.000989649331154677,0.21568221010788968
9,0.04640119205746386,0.11307927331714718,0.04503194250787298,0.000920475508360815,0.2073052647765036
